index;file;ts;esco;onto;value;type
166;f275;2022-11-29T19:09:43;http://data.europa.eu/esco/isco/C3431;http://ti-2022-11-2918:12:32.586072.org/onto#3431;1.0;INST
42;f2875;2022-11-30T00:44:39;http://data.europa.eu/esco/occupation/6e8917c8-d883-4475-954c-ec241215ca18;http://ti-2022-11-2918:12:32.586072.org/onto#3431;0.97;INST
22;f280;2022-11-29T19:10:12;http://data.europa.eu/esco/isco/C35;http://ti-2022-11-2918:12:32.586072.org/onto#35;1.0;INST
106;f281;2022-11-29T19:10:18;http://data.europa.eu/esco/isco/C351;http://ti-2022-11-2918:12:32.586072.org/onto#351;1.0;INST
134;f282;2022-11-29T19:10:23;http://data.europa.eu/esco/isco/C3511;http://ti-2022-11-2918:12:32.586072.org/onto#3511;1.0;INST
12;f283;2022-11-29T19:10:29;http://data.europa.eu/esco/isco/C3512;http://ti-2022-11-2918:12:32.586072.org/onto#3512;1.0;INST
70;f284;2022-11-29T19:10:34;http://data.europa.eu/esco/isco/C3513;http://ti-2022-11-2918:12:32.586072.org/onto#3513;1.0;INST
206;f285;2022-11-29T19:10:39;http://data.europa.eu/esco/isco/C3514;http://ti-2022-11-2918:12:32.586072.org/onto#3514;1.0;INST
130;f287;2022-11-29T19:10:51;http://data.europa.eu/esco/isco/C3521;http://ti-2022-11-2918:12:32.586072.org/onto#3519;1.0;INST
233;f321;2022-11-29T19:14:09;http://data.europa.eu/esco/isco/C44;http://ti-2022-11-2918:12:32.586072.org/onto#4;0.96;INST
141;f322;2022-11-29T19:14:14;http://data.europa.eu/esco/isco/C441;http://ti-2022-11-2918:12:32.586072.org/onto#4;0.96;INST
252;f289;2022-11-29T19:11:02;http://data.europa.eu/esco/isco/C41;http://ti-2022-11-2918:12:32.586072.org/onto#41;1.0;INST
48;f1240;2022-11-29T21:06:52;http://data.europa.eu/esco/occupation/5c5b153e-4bf8-4f3d-973d-12fabf306d12;http://ti-2022-11-2918:12:32.586072.org/onto#412;0.98;INST
226;f292;2022-11-29T19:11:19;http://data.europa.eu/esco/isco/C412;http://ti-2022-11-2918:12:32.586072.org/onto#412;0.97;INST
137;f293;2022-11-29T19:11:25;http://data.europa.eu/esco/isco/C4120;http://ti-2022-11-2918:12:32.586072.org/onto#412;0.97;INST
143;f294;2022-11-29T19:11:30;http://data.europa.eu/esco/isco/C413;http://ti-2022-11-2918:12:32.586072.org/onto#413;1.0;INST
145;f295;2022-11-29T19:11:35;http://data.europa.eu/esco/isco/C4131;http://ti-2022-11-2918:12:32.586072.org/onto#4131;1.0;INST
138;f1287;2022-11-29T21:13:03;http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892;http://ti-2022-11-2918:12:32.586072.org/onto#4132;0.96;INST
158;f1656;2022-11-29T22:01:45;http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3;http://ti-2022-11-2918:12:32.586072.org/onto#4132;0.96;INST
110;f296;2022-11-29T19:11:41;http://data.europa.eu/esco/isco/C4132;http://ti-2022-11-2918:12:32.586072.org/onto#4132;1.0;INST
